beer_beerid,beer_style,styles,beer_name
6182,13,American IPA,Viking IPA
6237,13,American IPA,Karl Strauss Star Of India Pale Ale
6263,13,American IPA,I.P.A
6266,13,American IPA,Cascade I.P.A.
6288,13,American IPA,Hop Brook India Pale Ale
6368,13,American IPA,Masala Mama India Pale Ale
6372,13,American IPA,Highland Kashmir IPA
6549,13,American IPA,Northern Hemisphere Harvest Wet Hop Ale
6672,13,American IPA,Henry Hudson IPA
6765,13,American IPA,INDIAna Pale Ale
6825,13,American IPA,I.P.A.
6840,13,American IPA,India Pale Ale
6870,13,American IPA,India Pale Ale
6874,13,American IPA,Wild Rose I.P.A. (India Pale Ale)
6914,13,American IPA,Perley Town I.P.A.
6926,13,American IPA,Mount Olympus Special Ale
6962,13,American IPA,Torrey Pines IPA
6979,13,American IPA,Mack Point IPA
7004,13,American IPA,Ahopalypse Now IPA
7007,13,American IPA,IPA
7026,13,American IPA,Rochester Mills Cornerstone IPA
7033,13,American IPA,Big Red Ale
7047,13,American IPA,Champion Reserve IPA
7049,13,American IPA,Long Brothers Strong Ale
7111,13,American IPA,Kind Brother
7145,13,American IPA,Dragonmead Broken Paddle India Pale Ale
7160,13,American IPA,White Fox Ale
7200,13,American IPA,Wreck The Halls
7209,13,American IPA,Full Tilt IPA
7219,13,American IPA,Fish Tale India Pale Ale
7458,13,American IPA,Willimantic E-Mail IPA
7459,13,American IPA,Willimantic Address Unknown IPA
7516,13,American IPA,Winter I.P.A.
7538,13,American IPA,Ramapo Valley Trail Quencher IPA
7608,13,American IPA,"""Marnie"" Gras Carnival Ale"
7739,13,American IPA,India Pale Ale
7771,13,American IPA,Schlafly Hop Harvest Ale
7789,13,American IPA,IPA
7849,13,American IPA,Ichthysaur IPA
7908,13,American IPA,Kuhnhenn American IPA
7951,13,American IPA,Dave's India Pale Ale
7954,13,American IPA,Teikoku IPA
8012,13,American IPA,Hophead India Pale Ale
8020,13,American IPA,Grid Iron IPA
8065,13,American IPA,JT Schmid's India Pale Ale
8077,13,American IPA,Yellowjacket IPA
8242,13,American IPA,IPA
8312,13,American IPA,Southampton IPA
8348,13,American IPA,Sgt Major's IPA
8403,13,American IPA,Schlafly India Pale Ale
8411,13,American IPA,Castaway IPA
8492,13,American IPA,Il Vicino Wet Mountain India Pale Ale
8562,13,American IPA,Owen's IPA
8570,13,American IPA,Thunder Canyon Thunderhead IPA
8698,13,American IPA,Hopyard IPA
8708,13,American IPA,Steam Pumper IPA
8721,13,American IPA,Bonnie And Clyde IPA
8743,13,American IPA,Vapor Cave IPA
8769,13,American IPA,Columbus India Pale Ale
8810,13,American IPA,India Pale Ale
8950,13,American IPA,Firewater IPA
9024,13,American IPA,IPA Nectar
9030,13,American IPA,Hop Explosion
9060,13,American IPA,Fuggin' IPA
9088,13,American IPA,IPA (India Pale Ale)
9228,13,American IPA,Bagel Beer Everything I.P.A.
9240,13,American IPA,Pierpont India Pale Ale
9264,13,American IPA,IPA
9414,13,American IPA,IPA
9611,13,American IPA,Iron Horse I.P.A.
9616,13,American IPA,Barley's XXAmarillo IPA
9699,13,American IPA,Blue Point IPA
9770,13,American IPA,Kokopelli IPA
9830,13,American IPA,Bengal Bay IPA
9938,13,American IPA,Super Natural IPA
10284,13,American IPA,Indian Pale
10394,13,American IPA,Constellation IPA
10425,13,American IPA,Hop Daddy IPA
10428,13,American IPA,Sculler's IPA
10486,13,American IPA,Taiko Ale
10490,13,American IPA,Standing Stone IPA
10545,13,American IPA,MacTarnahan's Oak-Aged IPA
10612,13,American IPA,Swan Lake IPA
10731,13,American IPA,Third Eye P.A.
10764,13,American IPA,Chehalem Mountain IPA
10784,13,American IPA,Caldera IPA
10855,13,American IPA,St. Louis Bay IPA
10899,13,American IPA,Horny Toad IPA
11026,13,American IPA,I.P.A.
11081,13,American IPA,Expedition IPA
11209,13,American IPA,Holy Cow IPA
11307,13,American IPA,Big Dog Ale
11316,13,American IPA,Batch No. 500 IPA
11410,13,American IPA,IPA
11438,13,American IPA,Shipwreck IPA
11541,13,American IPA,Lengthwise Centennial Ale
11565,13,American IPA,IPA
11641,13,American IPA,India Pale Ale
11836,13,American IPA,India Pale Ale
11846,13,American IPA,Texas Speedbump IPA
11856,13,American IPA,Red Truck IPA
11882,13,American IPA,El Camino IPA
11900,13,American IPA,Endless Summer IPA
11922,13,American IPA,Titan IPA
11948,13,American IPA,IPA
12010,13,American IPA,Elk Rock Wapati India Pale Ale
12018,13,American IPA,Stockyard IPA
12029,13,American IPA,IPA
12209,13,American IPA,Maxwell's IPA
12218,13,American IPA,Kirley Q's IPA
12232,13,American IPA,Leavenworth Hodgsons India Pale Ale
12322,13,American IPA,Mojo IPA
12370,13,American IPA,Bandit IPA
12448,13,American IPA,Morro Bay IPA
12473,13,American IPA,Big Pig IPA
12511,13,American IPA,Centennial India Pale Ale
12672,13,American IPA,Heavy-handed IPA 2003 Harvest
12839,13,American IPA,Blackwater IPA
12849,13,American IPA,Wet Whiskers IPA
12872,13,American IPA,Hopdaemon Skrimshander IPA
12885,13,American IPA,Kenny The IPA
12896,13,American IPA,Hop Knot
13109,13,American IPA,Detroit Beer Co. Local 1529 I.P.A.
13112,13,American IPA,IPA
13130,13,American IPA,IPA
13226,13,American IPA,Backdraft IPA
13484,13,American IPA,Bodega Head IPA
13526,13,American IPA,Centennial King IPA
13594,13,American IPA,Naked Kernal IPA
13618,13,American IPA,Craigmill Brewery Swallow IPA
13636,13,American IPA,Anniversary Ale 2003
13639,13,American IPA,IPA
13706,13,American IPA,National IPA
13707,13,American IPA,Harvest
13711,13,American IPA,Hurricane Kitty
13789,13,American IPA,Columbus 15th Anniversary IPA
13809,13,American IPA,Orient Express IPA
13812,13,American IPA,Rock Art IPA
13973,13,American IPA,Shenandoah Centennial India Pale Ale
14008,13,American IPA,Sunflower IPA
14475,13,American IPA,Stober's Wedding Celebration
14507,13,American IPA,India Pale Ale
14512,13,American IPA,India Pale Ale
14545,13,American IPA,Bullfrog India Pale Ale
14549,13,American IPA,Brewer's Choice IPA
14575,13,American IPA,Beer Garden Ale
14673,13,American IPA,Bombay IPA
14690,13,American IPA,Hooligan IPA
14700,13,American IPA,I.P.A.
14792,13,American IPA,Crazy Cascadin' Ale
14867,13,American IPA,India Pale Ale
14909,13,American IPA,Duke Of Ale
14964,13,American IPA,Willimantic Husky IPA
14972,13,American IPA,South Bay IPA
15062,13,American IPA,Special Ops IPA
15101,13,American IPA,IPA
15133,13,American IPA,Full Throttle I.P.A.
15263,13,American IPA,India Pale Ale
15292,13,American IPA,Every Day IPA
15315,13,American IPA,Spiney Norman IPA
15464,13,American IPA,Buffalo Tap Room India Pale Ale
15530,13,American IPA,British Bombay IPA
15534,13,American IPA,Willimantic International Mail IPA
15591,13,American IPA,Davie Poplar IPA
15655,13,American IPA,IPA
15690,13,American IPA,Bert Grant's Hopzilla IPA
15696,13,American IPA,Midway IPA
15888,13,American IPA,IPA
15901,13,American IPA,Hop Jack IPA
15908,13,American IPA,Rickard's India Pale Ale
15940,13,American IPA,Celebration Ale
15995,13,American IPA,4x4 Ale (15th Anniversary)
16038,13,American IPA,Boscos Bombay IPA (Little Rock)
16048,13,American IPA,Wasco Indian Summer Ale (ISA)
16087,13,American IPA,Dirty Dog I.P.A.
16155,13,American IPA,West Coast IPA
16248,13,American IPA,IPA
16315,13,American IPA,Hop Goblin
16376,13,American IPA,Corne Du Diable
16460,13,American IPA,Totem Pole IPA
16502,13,American IPA,Dog Days Of Summer India Pale Ale
16533,13,American IPA,Iron Monkey
16579,13,American IPA,Perfect Storm IPA
16617,13,American IPA,Old Willy India Pale Ale
16641,13,American IPA,IPA
16644,13,American IPA,IPA
16669,13,American IPA,Uberhop
16692,13,American IPA,Black Forest India Pale Ale
16726,13,American IPA,XS-Ive IPA
16732,13,American IPA,New Delhi I.P.A.
16746,13,American IPA,Evil IPA
16761,13,American IPA,IPA
16779,13,American IPA,Leatherlips IPA
16966,13,American IPA,Tomahawk IPA
17082,13,American IPA,Nimbus IPA
17144,13,American IPA,IPA Junior
17158,13,American IPA,Anchorhead IPA
17220,13,American IPA,IPA
17245,13,American IPA,Moondance IPA
17292,13,American IPA,India Pale Ale
17293,13,American IPA,Industrial Park Ale
17313,13,American IPA,Fat Bottom Ale
17328,13,American IPA,Big Red IPA
17336,13,American IPA,India Pale Ale
17412,13,American IPA,British Attack IPA
17428,13,American IPA,Youteizan Beer
17556,13,American IPA,India Pale Ale
17661,13,American IPA,Otter IPA
17736,13,American IPA,Liberator IPA
17785,13,American IPA,Halfmoon IPA
17837,13,American IPA,India Pale Ale
17948,13,American IPA,Hop Harvest Ale
18209,13,American IPA,Hazel Dell IPA
18274,13,American IPA,IPA
18331,13,American IPA,Kuhnhenn Red IPA
18341,13,American IPA,Rat City IPA
18342,13,American IPA,XPA
18451,13,American IPA,India Pale Ale
18488,13,American IPA,SuperShow 69
18505,13,American IPA,Meerkat IPA
18661,13,American IPA,South Jetty IPA
18822,13,American IPA,IPA
19006,13,American IPA,Palisades IPA
19128,13,American IPA,Bombay Bomber IPA
19153,13,American IPA,Fifty Cat IPA
19159,13,American IPA,Kokopelli IPA
19300,13,American IPA,Backpacker I.P.A.
19404,13,American IPA,Willimantic Postmaster IPA
19430,13,American IPA,India Pale Ale (Big I.P.A.)
19431,13,American IPA,IPA
19448,13,American IPA,Left Coast IPA
19525,13,American IPA,India Pale Ale
19547,13,American IPA,Brewer's Specialty IPA
19621,13,American IPA,Hatchet Face IPA
19689,13,American IPA,Thunder Bay Motorhead IPA
19742,13,American IPA,Indra Island IPA
19784,13,American IPA,Big I.P.A.
19822,13,American IPA,Two Palms Sand Dune IPA
